City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
82,Sitka,57.0531,-135.33,46.4,66,75,5.75,US,2021-05-02 22:03:55,broken clouds
83,Terrace,54.5163,-128.6035,53.6,54,75,5.75,CA,2021-05-02 22:09:22,broken clouds
84,Cherskiy,68.75,161.3,23.52,74,10,4.9,RU,2021-05-02 22:03:54,clear sky
85,Ukiah,39.1502,-123.2078,73.4,35,1,12.66,US,2021-05-02 22:00:44,clear sky
86,Bluff,-46.6,168.3333,50.0,89,21,3.0,NZ,2021-05-02 22:09:25,few clouds
87,Port Alfred,-33.5906,26.891,64.13,75,0,12.1,ZA,2021-05-02 22:00:44,clear sky
88,Sulangan,11.1373,123.7228,81.95,78,21,13.31,PH,2021-05-02 22:09:28,few clouds
89,Kodiak,57.79,-152.4072,41.0,87,90,18.41,US,2021-05-02 22:07:26,light rain
90,Tura,25.5198,90.2201,70.07,74,100,3.06,IN,2021-05-02 22:01:29,overcast clouds
91,Ratnagiri,16.9833,73.3,80.47,57,0,2.95,IN,2021-05-02 22:09:31,clear sky
92,Santa Marta,11.2408,-74.199,87.01,73,100,1.99,CO,2021-05-02 22:05:29,overcast clouds
93,Shenjiamen,29.9576,122.298,59.74,73,87,16.78,CN,2021-05-02 22:08:04,overcast clouds
94,Tuktoyaktuk,69.4541,-133.0374,24.8,80,90,5.75,CA,2021-05-02 22:00:29,overcast clouds
95,Alofi,-19.0595,-169.9187,77.0,88,93,11.5,NU,2021-05-02 22:09:35,overcast clouds
96,Cape Town,-33.9258,18.4232,66.2,45,0,10.36,ZA,2021-05-02 22:09:26,clear sky
97,Pravdinsk,54.4429,21.0179,37.4,93,75,17.9,RU,2021-05-02 22:09:37,light rain
98,Goderich,43.7501,-81.7165,71.6,49,100,8.05,CA,2021-05-02 22:09:39,overcast clouds
99,Saint-Pierre,-21.3393,55.4781,73.99,83,0,6.91,RE,2021-05-02 22:03:19,clear sky
100,Tiarei,-17.5333,-149.3333,86.0,66,20,14.97,PF,2021-05-02 22:09:41,few clouds
101,Cardston,49.2,-113.3019,48.2,53,98,6.91,CA,2021-05-02 22:09:42,overcast clouds
102,Moree,-29.4667,149.85,60.8,72,0,9.22,AU,2021-05-02 22:09:43,clear sky
103,Biskamzha,53.4497,89.5272,27.37,98,80,1.28,RU,2021-05-02 22:09:44,broken clouds
104,Bengkulu,-3.8004,102.2655,75.63,86,77,4.32,ID,2021-05-02 22:09:45,broken clouds
105,Port Elizabeth,-33.918,25.5701,64.4,72,40,10.36,ZA,2021-05-02 22:01:59,scattered clouds
106,Cockburn Town,21.4612,-71.1419,80.6,69,40,11.5,TC,2021-05-02 22:07:07,scattered clouds
107,Nichinan,31.6,131.3667,48.2,81,0,5.75,JP,2021-05-02 22:09:11,clear sky
108,Pisco,-13.7,-76.2167,69.8,73,0,21.85,PE,2021-05-02 22:03:03,clear sky
109,Punta Arenas,-53.15,-70.9167,39.2,87,40,8.05,CL,2021-05-02 22:09:50,scattered clouds
110,Srednekolymsk,67.45,153.6833,27.79,76,5,3.24,RU,2021-05-02 22:01:51,clear sky
111,Provideniya,64.3833,-173.3,28.06,53,99,15.21,RU,2021-05-02 22:09:52,overcast clouds
112,Saint-Philippe,-21.3585,55.7679,73.99,83,0,6.91,RE,2021-05-02 22:01:14,clear sky
113,Castro,-24.7911,-50.0119,61.57,80,28,3.24,BR,2021-05-02 22:01:05,scattered clouds
114,Laguna,38.421,-121.4238,84.99,13,1,20.71,US,2021-05-02 22:03:33,clear sky
115,Khatanga,71.9667,102.5,30.31,90,100,6.35,RU,2021-05-02 22:00:41,overcast clouds
116,Turukhansk,65.8167,87.9833,34.14,82,100,12.12,RU,2021-05-02 22:09:57,overcast clouds
117,Lyngdal,58.1376,7.07,44.01,68,39,13.0,NO,2021-05-02 22:09:58,scattered clouds
118,Ancud,-41.8697,-73.8203,52.0,71,75,8.05,CL,2021-05-02 22:01:01,broken clouds
119,Tallahassee,30.4383,-84.2807,81.0,54,90,6.91,US,2021-05-02 22:06:18,overcast clouds
120,Am Timan,11.0297,20.2827,93.56,19,52,0.74,TD,2021-05-02 22:10:01,broken clouds
